dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
夏,夏,,,,-1989,-1559,夏,http://data.library.sh.cn/authority/temporal/4alljneqiivh5691
商,商,,,,-1559,-1123,商,http://data.library.sh.cn/authority/temporal/5et552ry5g8t8t1m
周,周,,,,-1123,-256,周,http://data.library.sh.cn/authority/temporal/h49zie56z4d1gtq2
西周,西周,,,,-1046,-771,西周,http://data.library.sh.cn/authority/temporal/8qs9fkfuknhhewht
东周,东周,,,,-770,-221,东周,http://data.library.sh.cn/authority/temporal/cjnk46stusravcp5
春秋,春秋,,,,-770,-477,春秋,http://data.library.sh.cn/authority/temporal/mpacvj7uvzbrfj6x
战国,战国,,,,-476,-221,战国,http://data.library.sh.cn/authority/temporal/ksjisjzdlwskal1w
秦,秦,,始皇帝,嬴政,-221,-210,秦,http://data.library.sh.cn/authority/temporal/ty2nvzpe6atov9rz
秦,秦,,,,-221,-206,秦,http://data.library.sh.cn/authority/temporal/qs36fnjpp26jtw8s
秦,秦,,二世,嬴胡亥,-209,-207,秦,http://data.library.sh.cn/authority/temporal/r3iiwqb8wltcenxp
秦,秦,,,嬴子婴,-206,-206,秦,http://data.library.sh.cn/authority/temporal/k823rq1gc2a82h98
汉,汉,,,,-206,220,汉,http://data.library.sh.cn/authority/temporal/95vht2jlgtwimv93
汉,汉,,高祖,刘邦,-206,-195,汉,http://data.library.sh.cn/authority/temporal/pdkyarlmn2gznnmm
西汉,西汉,,,,-206,8,西汉,http://data.library.sh.cn/authority/temporal/sbirtc1g5d7oz64i
汉,汉,,惠帝,刘盈,-194,-188,汉,http://data.library.sh.cn/authority/temporal/fzrdpg8c9ehg7c9l
汉,汉,,高后,吕稚,-187,-180,汉,http://data.library.sh.cn/authority/temporal/hugoik4rcc88xc8r
汉,汉,,文帝,刘恒,-179,-164,汉,http://data.library.sh.cn/authority/temporal/lqgnkyu1agxb64ov
汉,汉,后元,文帝,刘恒,-163,-157,汉后元,http://data.library.sh.cn/authority/temporal/ze8flnm3ke6f53fb
汉,汉,,景帝,刘启,-156,-150,汉,http://data.library.sh.cn/authority/temporal/hx8ljjt6m9jwgfdq
汉,汉,中元,景帝,刘启,-149,-144,汉中元,http://data.library.sh.cn/authority/temporal/k9gxgdudz3m1u2hh
汉,汉,后元,景帝,刘启,-143,-141,汉后元,http://data.library.sh.cn/authority/temporal/anv3dae72kbwspdp
汉,汉,建元,武帝,刘彻,-140,-135,汉建元,http://data.library.sh.cn/authority/temporal/ipxo2wfpg3dfdpuz
汉,汉,元光,武帝,刘彻,-134,-129,汉元光,http://data.library.sh.cn/authority/temporal/tkj9b6oawtb766te
汉,汉,元朔,武帝,刘彻,-128,-123,汉元朔,http://data.library.sh.cn/authority/temporal/e2fps8lrgpqb64sy
汉,汉,元狩,武帝,刘彻,-122,-117,汉元狩,http://data.library.sh.cn/authority/temporal/4vnb6hdrnl4lvxpy
汉,汉,元鼎,武帝,刘彻,-116,-111,汉元鼎,http://data.library.sh.cn/authority/temporal/me9dwgm6awvj9hes
汉,汉,元封,武帝,刘彻,-110,-105,汉元封,http://data.library.sh.cn/authority/temporal/25uojc6z3xyok9py
汉,汉,太初,武帝,刘彻,-104,-101,汉太初,http://data.library.sh.cn/authority/temporal/6m6jksktokitfrk4
汉,汉,天汉,武帝,刘彻,-100,-97,汉天汉,http://data.library.sh.cn/authority/temporal/mb8brwopp4o89led
汉,汉,太始,武帝,刘彻,-96,-93,汉太始,http://data.library.sh.cn/authority/temporal/tgyyt8d5lthvmlwn
汉,汉,延和,武帝,刘彻,-92,-89,汉征和,http://data.library.sh.cn/authority/temporal/m7f6sfm3ykrfgt2o
汉,汉,后元,武帝,刘彻,-88,-87,汉后元,http://data.library.sh.cn/authority/temporal/3fili3zv9yysq5gb
汉,汉,始元,昭帝,刘弗陵,-86,-81,汉始元,http://data.library.sh.cn/authority/temporal/r1e1o1bctcf9cq1j
汉,汉,元凤,昭帝,刘弗陵,-80,-75,汉元凤,http://data.library.sh.cn/authority/temporal/lj31eykj5gbstwb8
汉,汉,元平,昭帝,刘弗陵,-74,-74,汉元平,http://data.library.sh.cn/authority/temporal/36rqoc5x176hpebi
汉,汉,本始,宣帝,刘询,-73,-70,汉本始,http://data.library.sh.cn/authority/temporal/jss6ikjwr52g863z
汉,汉,地节,宣帝,刘询,-69,-66,汉地节,http://data.library.sh.cn/authority/temporal/7u3h2hciii822gfe
汉,汉,元康,宣帝,刘询,-65,-61,汉元康,http://data.library.sh.cn/authority/temporal/rw9jqrxkcdqxaftr
汉,汉,神爵,宣帝,刘询,-61,-58,汉神爵,http://data.library.sh.cn/authority/temporal/hk1p6csqamgy6haa
汉,汉,五凤,宣帝,刘询,-57,-54,汉五凤,http://data.library.sh.cn/authority/temporal/rvb7vdfieh6za8es
汉,汉,甘露,宣帝,刘询,-53,-50,汉甘露,http://data.library.sh.cn/authority/temporal/h8umklt7snvbgucs
汉,汉,黄龙,宣帝,刘询,-49,-49,汉黄龙,http://data.library.sh.cn/authority/temporal/im3yti4yeci8mmys
汉,汉,初元,元帝,刘奭,-48,-44,汉初元,http://data.library.sh.cn/authority/temporal/2ng71fajza2th444
汉,汉,永光,元帝,刘奭,-43,-39,汉永光,http://data.library.sh.cn/authority/temporal/cdy5blysbugln8f7
汉,汉,建昭,元帝,刘奭,-38,-34,汉建昭,http://data.library.sh.cn/authority/temporal/gyt1bylta4scmz5q
汉,汉,竟宁,元帝,刘奭,-33,-33,汉竟宁,http://data.library.sh.cn/authority/temporal/o79zxorcf34gvckg
汉,汉,建始,成帝,刘骜,-32,-28,汉建始,http://data.library.sh.cn/authority/temporal/w6v3v9dltjion1yi
汉,汉,河平,成帝,刘骜,-28,-25,汉河平,http://data.library.sh.cn/authority/temporal/oz892n54486yh9xa
汉,汉,阳朔,成帝,刘骜,-24,-21,汉阳朔,http://data.library.sh.cn/authority/temporal/ktpijakzsv3t9bqm
汉,汉,鸿嘉,成帝,刘骜,-20,-17,汉鸿嘉,http://data.library.sh.cn/authority/temporal/6oa4jj47g4xxh3fb
汉,汉,永始,成帝,刘骜,-16,-13,汉永始,http://data.library.sh.cn/authority/temporal/h841m6ndrgk9uoc7
汉,汉,元延,成帝,刘骜,-12,-9,汉元延,http://data.library.sh.cn/authority/temporal/fkwm4qzusgoznfha
汉,汉,绥和,成帝,刘骜,-8,-7,汉绥和,http://data.library.sh.cn/authority/temporal/7i3c52ulmk1g3aj9
汉,汉,建平,哀帝,刘欣,-6,-3,汉建平,http://data.library.sh.cn/authority/temporal/vuoeofj271g96eb2
汉,汉,太初,哀帝,刘欣,-5,-5,汉太初,http://data.library.sh.cn/authority/temporal/sukmweaeo52v7j6e
汉,汉,元寿,哀帝,刘欣,-2,-1,汉元寿,http://data.library.sh.cn/authority/temporal/5hvqv2zbeyy4bf7v
汉,汉,元始,平帝,刘衎,1,5,汉元始,http://data.library.sh.cn/authority/temporal/1j73xqybmk7lr649
汉,汉,居摄,孺子,刘婴,6,8,汉居摄,http://data.library.sh.cn/authority/temporal/5maiex7kzlaaujpu
汉,汉,初始,孺子,刘婴,8,8,汉初始,http://data.library.sh.cn/authority/temporal/ga8tf8qsxkbcc8gc
新,新,始建国,,王莽,9,13,新始建国,http://data.library.sh.cn/authority/temporal/6hj5hqgeqm63s54e
新,新,天凤,,王莽,14,19,新天凤,http://data.library.sh.cn/authority/temporal/rfqm4sgzhpw1n9fs
新,新,地皇,,王莽,20,23,新地皇,http://data.library.sh.cn/authority/temporal/32zcdr1sao5kdsna
,,复汉,,隗嚣,23,34,复汉,http://data.library.sh.cn/authority/temporal/9hjgf8yr6j7v4mlx
,,更始,,刘玄,23,25,更始,http://data.library.sh.cn/authority/temporal/95m9duj9c35zle32
