issues,dynasty,reignTitle,monarch,monarchName,begin,end,label,uri
C:1yr-span,秦,,,嬴子婴,-206,-206,秦,http://data.library.sh.cn/authority/temporal/k823rq1gc2a82h98
C:1yr-span,汉,元平,昭帝,刘弗陵,-74,-74,汉元平,http://data.library.sh.cn/authority/temporal/36rqoc5x176hpebi
C:1yr-span,汉,黄龙,宣帝,刘询,-49,-49,汉黄龙,http://data.library.sh.cn/authority/temporal/im3yti4yeci8mmys
C:1yr-span,汉,竟宁,元帝,刘奭,-33,-33,汉竟宁,http://data.library.sh.cn/authority/temporal/o79zxorcf34gvckg
F2:split-span(-5~-3),汉,建平,哀帝,刘欣,-6,-5,汉建平,http://data.library.sh.cn/authority/temporal/vuoeofj271g96eb2
F2:split-span(-6~-5),汉,建平,哀帝,刘欣,-5,-3,汉建平,http://data.library.sh.cn/authority/temporal/amvtgsrbhv3316w8
C:1yr-span,汉,太初,哀帝,刘欣,-5,-5,汉太初,http://data.library.sh.cn/authority/temporal/sukmweaeo52v7j6e
C:1yr-span,汉,初始,孺子,刘婴,8,8,汉初始,http://data.library.sh.cn/authority/temporal/ga8tf8qsxkbcc8gc
C:1yr-span,东汉,元兴,和帝,刘肇,105,105,东汉元兴,http://data.library.sh.cn/authority/temporal/hg4esek9whs583se
C:1yr-span,东汉,延平,殇帝,刘隆,106,106,东汉延平,http://data.library.sh.cn/authority/temporal/lymxqmb5htjeqgaa
C:1yr-span,东汉,,少帝,刘懿,125,125,东汉,http://data.library.sh.cn/authority/temporal/s14e7glq62u3xwds
C:1yr-span,东汉,永熹,冲帝,刘炳,145,145,东汉永熹,http://data.library.sh.cn/authority/temporal/r99evaoyvnyxd1ig
C:1yr-span,东汉,本初,质帝,刘缵,146,146,东汉本初,http://data.library.sh.cn/authority/temporal/4l3vtnx424q8tlr6
C:1yr-span,东汉,建康,顺帝,刘保,144,144,东汉建康,http://data.library.sh.cn/authority/temporal/ter4rksetozjnz92
C:1yr-span,东汉,和平,桓帝,刘志,150,150,东汉和平,http://data.library.sh.cn/authority/temporal/of1lh6dt6ifpfui3
C:1yr-span,东汉,永康,桓帝,刘志,167,167,东汉永康,http://data.library.sh.cn/authority/temporal/xitn3m4455ch7old
C:1yr-span,东汉,昭宁,少帝,刘辩,189,189,东汉昭宁,http://data.library.sh.cn/authority/temporal/jswab2u8hs58x3cj
C:1yr-span,东汉,光熹,少帝,刘辩,189,189,东汉光熹,http://data.library.sh.cn/authority/temporal/potpou9tyvscsxci
C:1yr-span,东汉,中平,献帝,刘协,190,190,东汉中平,http://data.library.sh.cn/authority/temporal/m3ddhrxgnvggjh4s
C:1yr-span,东汉,永汉,献帝,刘协,190,190,东汉永汉,http://data.library.sh.cn/authority/temporal/iinjqup2n2t1cbj5
C:1yr-span,东汉,延康,献帝,刘协,220,220,东汉延康,http://data.library.sh.cn/authority/temporal/elk4kx9r4hh9jbjs
C:1yr-span,蜀,炎兴,后主,刘禅,263,263,蜀炎兴,http://data.library.sh.cn/authority/temporal/vdd9pi5aikzzcycb
C:1yr-span,吴,天玺,末帝,孙皓,276,276,吴天玺,http://data.library.sh.cn/authority/temporal/touo8kfomvtxc2ld
C:1yr-span;F1:trunc-dup(280~289),晋,太康,武帝,司马炎,280,280,晋太康,http://data.library.sh.cn/authority/temporal/fo3y5vgrykmpbupv
F2:split-span(280~280),晋,太康,武帝,司马炎,280,289,晋太康,http://data.library.sh.cn/authority/temporal/dhqeffghxbcfk7it
C:1yr-span,晋,太熙,武帝,司马炎,290,290,晋太熙,http://data.library.sh.cn/authority/temporal/deeaa4z6p9ofqmh9
C:1yr-span,晋,永熙,惠帝,司马衷,290,290,晋永熙,http://data.library.sh.cn/authority/temporal/6tb99ya9zw7v4f44
C:1yr-span,晋,永平,惠帝,司马衷,291,291,晋永平,http://data.library.sh.cn/authority/temporal/882tsrnyqeaqf8kl
C:1yr-span,,建始,,司马伦,301,301,建始,http://data.library.sh.cn/authority/temporal/5hbecpo2dyi1kshz
C:1yr-span,,神凤,,刘尼,303,303,神凤,http://data.library.sh.cn/authority/temporal/xx8f4kd2a9c5neto
C:1yr-span,汉,建初,,李流,303,303,成建初,http://data.library.sh.cn/authority/temporal/9dpkuske13155x1p
C:1yr-span,汉,建初,,李特,303,303,成建初,http://data.library.sh.cn/authority/temporal/l7nrukl9xheagqqc
F2:split-span(305~305),晋,永安,惠帝,司马衷,304,305,晋永安,http://data.library.sh.cn/authority/temporal/qvax2ffj69wnlesp
C:1yr-span,晋,建武,惠帝,司马衷,305,305,晋建武,http://data.library.sh.cn/authority/temporal/2n8poc112lr2vvpg
C:1yr-span;F1:trunc-dup(304~305),晋,永安,惠帝,司马衷,305,305,晋永安,http://data.library.sh.cn/authority/temporal/348e75qfbzegxsui
C:1yr-span,晋,光熙,惠帝,司马衷,306,306,晋光熙,http://data.library.sh.cn/authority/temporal/71slyg7nwze6mx3e
C:1yr-span,汉,永凤,,刘渊,308,308,汉永凤,http://data.library.sh.cn/authority/temporal/1fcbe2zwhx7gh73v
C:1yr-span,汉,汉昌,,刘粲,318,318,汉汉昌,http://data.library.sh.cn/authority/temporal/i4ocarm154zvj85b
C:1yr-span,,平赵,,句渠知,320,320,平赵,http://data.library.sh.cn/authority/temporal/lm8b89nyqvpzzyas
C:1yr-span,后赵,延熙,,石弘,334,334,后赵延熙,http://data.library.sh.cn/authority/temporal/1k9tsppv36rb4bwg
C:1yr-span,,龙兴,,侯子光,337,337,龙兴,http://data.library.sh.cn/authority/temporal/gobmyxbus7oncd8b
C:1yr-span,汉,汉兴,,李势,343,343,成汉兴,http://data.library.sh.cn/authority/temporal/rqz5r3bo8xoscwcl
C:1yr-span,前秦,,,苻洪,350,350,前秦,http://data.library.sh.cn/authority/temporal/fdpnx55jfwurxytj
C:1yr-span,后赵,太宁,,石虎,349,349,后赵太宁,http://data.library.sh.cn/authority/temporal/h1hgitvu3hzowe3p
C:1yr-span,后赵,青龙,,石世,350,350,后赵青龙,http://data.library.sh.cn/authority/temporal/bdka43e9wkkt8cu3
C:1yr-span,,凤凰,,李弘,370,370,凤凰,http://data.library.sh.cn/authority/temporal/b15wc9dee8yfi5xq
F2:split-span(384~386),后秦,白雀,,姚苌,384,386,后秦白雀,http://data.library.sh.cn/authority/temporal/rerrvzs5i41ek322
F2:split-span(384~386),后秦,白雀,,姚苌,384,386,后秦白雀,http://data.library.sh.cn/authority/temporal/5xzvownn7cviildh
C:1yr-span,西燕,燕兴,,慕容泓,384,384,西燕燕兴,http://data.library.sh.cn/authority/temporal/6ppukrc66giizztl
C:1yr-span,前秦,延初,,苻崇,394,394,前秦延初,http://data.library.sh.cn/authority/temporal/i7dxrek7j32mwfo4
C:1yr-span,南燕,建始,,慕容详,397,397,南燕建始,http://data.library.sh.cn/authority/temporal/mu99yrt998orijpj
C:1yr-span,南燕,延平,,慕容麟,397,397,南燕延平,http://data.library.sh.cn/authority/temporal/dzdc7jnin1l6ldeu
C:1yr-span,,青龙,,兰汗,398,398,青龙,http://data.library.sh.cn/authority/temporal/vog75aljxox6o376
C:1yr-span,后燕,建平,,慕容盛,398,398,后燕建平,http://data.library.sh.cn/authority/temporal/2opw3gpi11has2o8
C:1yr-span,后凉,咸宁,,吕纂,401,401,后凉咸宁,http://data.library.sh.cn/authority/temporal/5gufxjdt2xom753h
F2:split-span(404~404),东晋,元兴,安帝,司马德宗,402,403,东晋元兴,http://data.library.sh.cn/authority/temporal/7qoibz4hyub5xosg
C:1yr-span;F2:split-span(402~403),东晋,元兴,安帝,司马德宗,404,404,东晋元兴,http://data.library.sh.cn/authority/temporal/mtme6wjkuhvmptxe
C:1yr-span,东晋,大亨,安帝,司马德宗,403,403,东晋大亨,http://data.library.sh.cn/authority/temporal/jxbm2w59uwzfejjd
C:1yr-span,,圣明,,陈瞻,406,406,圣明,http://data.library.sh.cn/authority/temporal/bu5jp3qxdisrb4r6
F2:split-span(420~428),北凉,玄始,,沮渠蒙逊,412,420,北凉玄始,http://data.library.sh.cn/authority/temporal/5psm1qtb2nz51g4e
F2:split-span(412~420),北凉,玄始,,沮渠蒙逊,420,428,北凉玄始,http://data.library.sh.cn/authority/temporal/46rll74uqosg839j
C:1yr-span;F1:trunc-dup(420~421),西凉,永建,,李恂,420,420,西凉永建,http://data.library.sh.cn/authority/temporal/vxfb2rg9phlxs47p
C:1yr-span,西秦,建弘,,乞伏炽磐,420,420,西秦建弘,http://data.library.sh.cn/authority/temporal/443i7njox2adyvmh
F2:split-span(420~420),西凉,永建,,李恂,420,421,西凉永建,http://data.library.sh.cn/authority/temporal/4hsdazocx3odvpqf
B:ancient-name-AD,夏,建平,,刘虎,421,428,夏建平,http://data.library.sh.cn/authority/temporal/izq73mev4g3ajor2
C:1yr-span,北燕,冯弘,,乞伏炽磐,430,430,北燕冯弘,http://data.library.sh.cn/authority/temporal/9bkoaaxjwtyomykt
C:1yr-span,西秦,真兴,,乞伏暮末,431,431,西秦真兴,http://data.library.sh.cn/authority/temporal/fztdx37xm914ader
C:1yr-span,西秦,昌武,,乞伏暮末,431,431,西秦昌武,http://data.library.sh.cn/authority/temporal/hktmmulk9oaq2423
C:1yr-span,,太初,,刘劭,453,453,太初,http://data.library.sh.cn/authority/temporal/abw7yaalchdudkbp
C:1yr-span,北魏,太安,文成帝,拓跋濬,455,455,北魏太安,http://data.library.sh.cn/authority/temporal/gyewqnado4ekjy9n
C:1yr-span,南朝宋,景和,前废帝,刘子业,465,465,南朝宋景和,http://data.library.sh.cn/authority/temporal/15a8jrfhphayrp63
C:1yr-span,南朝宋,永光,前废帝,刘子业,465,465,南朝宋永光,http://data.library.sh.cn/authority/temporal/52cuuvfk24chtq5a
C:1yr-span,南朝宋,泰豫,明帝,刘彧,472,472,南朝宋泰豫,http://data.library.sh.cn/authority/temporal/l6eun36qjsx22ehp
C:1yr-span,北魏,承明,孝文帝,元宏,476,476,北魏承明,http://data.library.sh.cn/authority/temporal/bnvgnsh8buss4zya
C:1yr-span,南齐,延兴,海陵王,萧昭文,495,495,南齐延兴,http://data.library.sh.cn/authority/temporal/5s2qzj1e6qphrp4r
C:1yr-span,南齐,永泰,东昏侯,萧宝卷,498,498,南齐永泰,http://data.library.sh.cn/authority/temporal/zj385ksioq6zf52v
C:1yr-span,,建义,,雍道晞,500,500,建义,http://data.library.sh.cn/authority/temporal/hksh4q64lnhdzotx
C:1yr-span,,建明,,吕苟儿,506,506,建明,http://data.library.sh.cn/authority/temporal/ctfeo8ltas5fsgmt
C:1yr-span,,鲁兴,,鲜于修礼,526,526,鲁兴,http://data.library.sh.cn/authority/temporal/dhhe95v8l4ozxe2m
C:1yr-span,,孝基,,元颢,529,529,孝基,http://data.library.sh.cn/authority/temporal/2o3gtqmge22gyyrq
C:1yr-span,,建武,,元颢,529,529,建武,http://data.library.sh.cn/authority/temporal/fn7349rgg9i8og9s
C:1yr-span,北魏,建义,孝庄帝,元子攸,530,530,北魏建义,http://data.library.sh.cn/authority/temporal/4hi1lne9o9593s5t
C:1yr-span,,,,高昌,530,530,,http://data.library.sh.cn/authority/temporal/pptpov5smktwp1ub
C:1yr-span,北魏,永安,孝庄帝,元子攸,530,530,北魏永安,http://data.library.sh.cn/authority/temporal/9961vy5q73kkqgi2
C:1yr-span,北魏,太昌,孝武帝,元修,532,532,北魏太昌,http://data.library.sh.cn/authority/temporal/xqiae42z63d8vapa
C:1yr-span,北魏,中兴,安定王,元朗,532,532,北魏中兴,http://data.library.sh.cn/authority/temporal/6ausf72kyuz6q2ps
C:1yr-span,北魏,永兴,安定王,元朗,533,533,北魏永兴,http://data.library.sh.cn/authority/temporal/q5mxn92fxbmy2uri
C:1yr-span,,上愿,,鲜于琛,535,535,上愿,http://data.library.sh.cn/authority/temporal/3kc9jwuqowrlbgwe
C:1yr-span,,永汉,,刘敬躬,542,542,永汉,http://data.library.sh.cn/authority/temporal/r97ihouinavo3t2m
C:1yr-span,梁,大宝,简文帝,萧纲,550,550,梁大宝,http://data.library.sh.cn/authority/temporal/fl7uo5xuecm2fyvp
F2:split-span(553~554),梁,承圣,元帝,萧绎,552,555,梁承圣,http://data.library.sh.cn/authority/temporal/n9u3rdpli664wlvt
F2:split-span(552~555),梁,承圣,元帝,萧绎,553,554,梁承圣,http://data.library.sh.cn/authority/temporal/p3djldcondu9rx4b
C:1yr-span,梁,天正,元帝,萧绎,554,554,梁天正,http://data.library.sh.cn/authority/temporal/s48w819s76i1dgqk
C:1yr-span,梁,天成,贞阳侯,萧渊明,555,555,梁天成,http://data.library.sh.cn/authority/temporal/gy8l58cnvon7ipze
C:1yr-span,北周,武成,明帝,宇文毓,560,560,北周武成,http://data.library.sh.cn/authority/temporal/lzonxl4bklv55ntc
C:1yr-span,北齐,乾明,废帝,高殷,560,560,北齐乾明,http://data.library.sh.cn/authority/temporal/98mi65qdzg8j7btc
F2:split-span(589~601),高昌,延昌,,麴乾固,561,589,高昌延昌,http://data.library.sh.cn/authority/temporal/dbvlcnjnf2w148ip
C:1yr-span,陈,天康,文帝,陈蒨,566,566,陈天康,http://data.library.sh.cn/authority/temporal/ij81rtjs3lzbtt6y
E:missing-year,北齐,承光,幼主,高恒,577,,北齐承光,http://data.library.sh.cn/authority/temporal/glvpbcmcui3yfien
C:1yr-span,北周,宣政,宣帝,宇文赟,578,578,北周宣政,http://data.library.sh.cn/authority/temporal/28m71xdsg6t142m1
C:1yr-span,北周,大定,静帝,宇文阐,581,581,北周大定,http://data.library.sh.cn/authority/temporal/ipxw3qiit3ml6vsv
F2:split-span(589~600),隋,开皇,文帝,杨坚,582,589,隋开皇,http://data.library.sh.cn/authority/temporal/ylyobpybbk442ev6
F2:split-span(582~589),隋,开皇,文帝,杨坚,589,600,隋开皇,http://data.library.sh.cn/authority/temporal/1p4t1rtattpetdfn
F2:split-span(561~589),高昌,延昌,,麴乾固,589,601,高昌延昌,http://data.library.sh.cn/authority/temporal/i4gzq1997nn8nufc
C:1yr-span,,白乌,,向海明,613,613,白乌,http://data.library.sh.cn/authority/temporal/w1k2rltayvdkfahm
C:1yr-span,,大世,,刘迦论,614,614,大世,http://data.library.sh.cn/authority/temporal/gudsekjgaoqgxb9b
F2:split-span(618~619),高昌,义和,,麴□,614,618,高昌义和,http://data.library.sh.cn/authority/temporal/bf218vii1c6fj4aq
F2:split-span(618~619),,昌达,,朱粲,615,618,昌达,http://data.library.sh.cn/authority/temporal/5nsz6pu5numz1ls5
C:1yr-span,,始兴,,操师乞,616,616,始兴,http://data.library.sh.cn/authority/temporal/bg92fp1r8ceu2ncl
F2:split-span(618~620),,天兴,,刘武周,617,618,天兴,http://data.library.sh.cn/authority/temporal/fc1bpe6kp4ip63wl
F2:split-span(618~622),楚,太平,,林士弘,616,618,楚太平,http://data.library.sh.cn/authority/temporal/m9mfgfyvjwjpnshj
B:ancient-name-AD,夏,丁丑,,窦建德,617,618,夏丁丑,http://data.library.sh.cn/authority/temporal/hm6tq9vl6nx7pa4l
F2:split-span(618~621),梁,鸣凤,,萧铣,617,618,梁鸣凤,http://data.library.sh.cn/authority/temporal/jl1qvvfjrkb4igqb
F2:split-span(618~628),梁,永隆,,梁师都,617,618,梁永隆,http://data.library.sh.cn/authority/temporal/morqizkjdraq42gk
